,ticker,periodOfReport,linkToFilingDetails,formType,cik
61,UBER,2022-03-31,https://www.sec.gov/ix?doc=/Archives/edgar/data/1543151/000154315122000015/uber-20220331.htm,10-Q,1543151
62,UBER,2021-09-30,https://www.sec.gov/Archives/edgar/data/1543151/000154315121000047/uber-20210930.htm,10-Q,1543151
63,UBER,2021-06-30,https://www.sec.gov/Archives/edgar/data/1543151/000154315121000038/uber-20210630.htm,10-Q,1543151
64,UBER,2021-03-31,https://www.sec.gov/Archives/edgar/data/1543151/000154315121000029/uber-20210331.htm,10-Q,1543151
65,UBER,2020-09-30,https://www.sec.gov/Archives/edgar/data/1543151/000162828020015936/uber-20200930.htm,10-Q,1543151
66,UBER,2020-06-30,https://www.sec.gov/ix?doc=/Archives/edgar/data/1543151/000154315120000029/uber-20200630.htm,10-Q,1543151
67,UBER,2020-03-31,https://www.sec.gov/ix?doc=/Archives/edgar/data/1543151/000154315120000022/fy2020q1financialstate.htm,10-Q,1543151
68,UBER,2019-09-30,https://www.sec.gov/ix?doc=/Archives/edgar/data/1543151/000154315119000017/fy2019q3financialstate.htm,10-Q,1543151
69,UBER,2019-06-30,https://www.sec.gov/ix?doc=/Archives/edgar/data/1543151/000154315119000009/fy2019q2financialstate.htm,10-Q,1543151
70,UBER,2019-03-31,https://www.sec.gov/ix?doc=/Archives/edgar/data/1543151/000162828019007524/fy2019q1financialstate.htm,10-Q,1543151
71,MCHP,2021-12-31,https://www.sec.gov/Archives/edgar/data/827054/000082705422000025/mchp-20211231.htm,10-Q,827054
72,MCHP,2021-09-30,https://www.sec.gov/Archives/edgar/data/827054/000082705421000280/mchp-20210930.htm,10-Q,827054
73,MCHP,2021-06-30,https://www.sec.gov/Archives/edgar/data/827054/000082705421000187/mchp-20210630.htm,10-Q,827054
74,MCHP,2020-12-31,https://www.sec.gov/Archives/edgar/data/827054/000082705421000025/mchp-20201231.htm,10-Q,827054
75,MCHP,2020-09-30,https://www.sec.gov/Archives/edgar/data/827054/000082705420000278/mchp-20200930.htm,10-Q,827054
76,MCHP,2020-06-30,https://www.sec.gov/ix?doc=/Archives/edgar/data/827054/000082705420000186/a2020-06x3010q.htm,10-Q,827054
77,MCHP,2019-12-31,https://www.sec.gov/ix?doc=/Archives/edgar/data/827054/000082705420000029/a2019-12x3110q.htm,10-Q,827054
78,MCHP,2019-09-30,https://www.sec.gov/ix?doc=/Archives/edgar/data/827054/000082705419000288/a2019-09x3010k10q.htm,10-Q,827054
79,MCHP,2019-06-30,https://www.sec.gov/ix?doc=/Archives/edgar/data/827054/000082705419000197/a2019-06x3010k10q.htm,10-Q,827054
80,MCHP,2018-12-31,https://www.sec.gov/Archives/edgar/data/827054/000082705419000018/a1231201810qq3fy19.htm,10-Q,827054
81,MCHP,2018-09-30,https://www.sec.gov/Archives/edgar/data/827054/000082705418000249/a930201810qq2fy19.htm,10-Q,827054
82,MCHP,2018-06-30,https://www.sec.gov/Archives/edgar/data/827054/000082705418000143/a630201810qq1fy19.htm,10-Q,827054
83,MCHP,2017-12-31,https://www.sec.gov/Archives/edgar/data/827054/000082705418000021/a1231201710q.htm,10-Q,827054
84,MCHP,2017-09-30,https://www.sec.gov/Archives/edgar/data/827054/000082705417000203/a0930201710q.htm,10-Q,827054
