datetime,articles_compound_sentiment,articles_positive_sentiment,articles_neutral_sentiment,articles_negative_sentiment,stockmarket_compound_sentiment,stockmarket_positive_sentiment,stockmarket_neutral_sentiment,stockmarket_negative_sentiment
2013-04-29,,,,,,,,
2013-04-30,,,,,,,,
2013-05-01,,,,,,,,
2013-05-02,,,,,,,,
2013-05-03,,,,,,,,
2013-05-04,,,,,,,,
2013-05-05,,,,,,,,
2013-05-06,,,,,,,,
2013-05-07,,,,,,,,
2013-05-08,,,,,,,,
2013-05-09,,,,,,,,
2013-05-10,,,,,,,,
2013-05-11,,,,,,,,
2013-05-12,,,,,,,,
2013-05-13,,,,,,,,
2013-05-14,,,,,,,,
2013-05-15,,,,,,,,
2013-05-16,,,,,,,,
2013-05-17,,,,,,,,
2013-05-18,,,,,,,,
2013-05-19,,,,,,,,
2013-05-20,,,,,-0.1636,0.066,0.866,0.0685
2013-05-21,,,,,-0.4404,0.024,0.892,0.083
2013-05-22,,,,,0.18053750000000002,0.077625,0.8705,0.051750000000000004
2013-05-23,,,,,0.22212857142857143,0.11699999999999999,0.8397142857142857,0.04342857142857143
2013-05-24,,,,,0.15666666666666665,0.07316666666666667,0.8611666666666666,0.06566666666666666
2013-05-25,,,,,-0.40215,0.0605,0.839,0.1005
2013-05-26,,,,,0.3387523809523809,0.12571428571428572,0.8176190476190477,0.056666666666666664
2013-05-27,,,,,0.14548125,0.1524375,0.76175,0.0856875
2013-05-28,,,,,0.08349999999999999,0.1142,0.8013999999999999,0.0846
2013-05-29,,,,,0.04191538461538462,0.08407692307692308,0.805076923076923,0.11084615384615384
2013-05-30,,,,,0.161425,0.104375,0.835375,0.060375
2013-05-31,,,,,0.5145181818181818,0.16372727272727272,0.8081818181818182,0.02809090909090909
2013-06-01,,,,,,,,
2013-06-02,,,,,,,,
2013-06-03,,,,,,,,
2013-06-04,,,,,,,,
2013-06-05,,,,,,,,
2013-06-06,,,,,,,,
2013-06-07,,,,,,,,
2013-06-08,,,,,,,,
2013-06-09,,,,,,,,
2013-06-10,,,,,,,,
2013-06-11,,,,,,,,
2013-06-12,,,,,,,,
2013-06-13,,,,,,,,
2013-06-14,,,,,,,,
2013-06-15,,,,,,,,
2013-06-16,,,,,,,,
2013-06-17,,,,,,,,
2013-06-18,,,,,,,,
2013-06-19,,,,,,,,
2013-06-20,,,,,,,,
2013-06-21,,,,,,,,
2013-06-22,,,,,,,,
2013-06-23,,,,,,,,
2013-06-24,,,,,,,,
2013-06-25,,,,,,,,
2013-06-26,,,,,,,,
2013-06-27,,,,,,,,
2013-06-28,,,,,,,,
2013-06-29,,,,,,,,
2013-06-30,,,,,,,,
2013-07-01,,,,,,,,
2013-07-02,,,,,,,,
2013-07-03,,,,,,,,
2013-07-04,,,,,,,,
2013-07-05,,,,,,,,
2013-07-06,,,,,,,,
2013-07-07,,,,,,,,
2013-07-08,,,,,,,,
2013-07-09,,,,,,,,
2013-07-10,,,,,,,,
2013-07-11,,,,,0.06783695652173913,0.10852173913043478,0.8294782608695652,0.062
2013-07-12,,,,,0.19316190476190476,0.079,0.8552857142857142,0.06566666666666666
2013-07-13,,,,,0.2670181818181818,0.116,0.8383636363636363,0.045454545454545456
2013-07-14,,,,,0.23884375,0.101875,0.840375,0.0578125
2013-07-15,,,,,0.26362307692307696,0.12323076923076923,0.8063076923076924,0.07046153846153845
2013-07-16,,,,,0.3860555555555556,0.11188888888888888,0.8371851851851851,0.05092592592592592
2013-07-17,,,,,0.08329285714285715,0.062285714285714285,0.8441428571428571,0.09357142857142857
2013-07-18,,,,,0.21905925925925926,0.11288888888888889,0.8257407407407408,0.061407407407407404
2013-07-19,,,,,0.6551791666666666,0.147125,0.8105416666666666,0.042333333333333334
2013-07-20,,,,,0.44320000000000004,0.1058,0.86065,0.033699999999999994
2013-07-21,,,,,0.4838241379310345,0.13955172413793102,0.8133103448275861,0.04717241379310345
2013-07-22,,,,,0.13505,0.0678157894736842,0.8843684210526316,0.047842105263157894
2013-07-23,,,,,0.20662857142857144,0.08407142857142857,0.8527857142857143,0.06321428571428571
2013-07-24,,,,,,,,
2013-07-25,,,,,,,,
2013-07-26,,,,,,,,
2013-07-27,,,,,,,,
2013-07-28,,,,,,,,
2013-07-29,,,,,,,,
2013-07-30,,,,,,,,
2013-07-31,,,,,,,,
2013-08-01,,,,,,,,
2013-08-02,,,,,,,,
2013-08-03,,,,,,,,
2013-08-04,,,,,,,,
2013-08-05,,,,,,,,
2013-08-06,,,,,,,,
2013-08-07,,,,,,,,
2013-08-08,,,,,,,,
2013-08-09,,,,,,,,
2013-08-10,,,,,,,,
2013-08-11,,,,,,,,
2013-08-12,,,,,,,,
2013-08-13,,,,,,,,
2013-08-14,,,,,,,,
2013-08-15,,,,,,,,
2013-08-16,,,,,,,,
2013-08-17,,,,,,,,
2013-08-18,,,,,,,,
2013-08-19,,,,,,,,
2013-08-20,,,,,,,,
2013-08-21,,,,,,,,
2013-08-22,,,,,,,,
2013-08-23,,,,,,,,
2013-08-24,,,,,,,,
2013-08-25,,,,,,,,
2013-08-26,,,,,,,,
2013-08-27,,,,,,,,
2013-08-28,,,,,,,,
2013-08-29,,,,,,,,
2013-08-30,,,,,,,,
2013-08-31,,,,,,,,
2013-09-01,,,,,0.5840428571428572,0.11642857142857142,0.8487142857142856,0.03485714285714286
2013-09-02,,,,,0.49468333333333336,0.14558333333333334,0.8376666666666667,0.016833333333333336
2013-09-03,,,,,0.2548391304347826,0.1226086956521739,0.8062608695652174,0.07117391304347827
2013-09-04,,,,,0.28326666666666667,0.10722222222222222,0.8414444444444444,0.05133333333333333
2013-09-05,,,,,0.20617037037037036,0.11137037037037037,0.829,0.05962962962962964
