,sec_compound_sentiment,sec_positive_sentiment,sec_neutral sentiment,sec_negative_sentiment,stockmarket_compound_sentiment,stockmarket_positive_sentiment,stockmarket_neutral_sentiment,stockmarket_negative_sentiment,volume,close
2020-07-12,1.0,0.099,0.859,0.042,0.3425,0.0918,0.8507999999999999,0.057100000000000005,13632289.0,33.14
2020-07-13,1.0,0.099,0.859,0.042,0.412,0.12366666666666666,0.8373333333333334,0.03933333333333333,19604822.0,31.72
2020-07-14,1.0,0.099,0.859,0.042,0.9885,0.175,0.769,0.057,21796598.0,30.93
2020-07-15,1.0,0.099,0.859,0.042,-0.6124,0.0,0.839,0.161,20976523.0,32.81
2020-07-16,1.0,0.099,0.859,0.042,0.9718,0.2105,0.7315,0.057999999999999996,11090750.0,32.35
2020-07-17,1.0,0.099,0.859,0.042,-0.4567,0.0155,0.942,0.043,13667896.0,32.55
2020-07-18,1.0,0.099,0.859,0.042,-0.4567,0.0155,0.942,0.043,13667896.0,32.55
2020-07-19,1.0,0.099,0.859,0.042,0.8955,0.098,0.902,0.0,13667896.0,32.55
2020-07-20,1.0,0.099,0.859,0.042,0.22892,0.148,0.7723,0.07970000000000001,16213609.0,33.66
2020-07-21,1.0,0.099,0.859,0.042,0.22892,0.148,0.7723,0.07970000000000001,16826545.0,32.55
2020-07-22,1.0,0.099,0.859,0.042,0.46835,0.1255,0.8745,0.0,12128382.0,32.66
2020-07-23,1.0,0.099,0.859,0.042,0.46835,0.1255,0.8745,0.0,12749770.0,32.17
2020-07-24,1.0,0.099,0.859,0.042,0.9458,0.28,0.61,0.11,16896059.0,31.18
2020-07-25,1.0,0.099,0.859,0.042,-0.6801,0.0,0.752,0.248,16896059.0,31.18
2020-07-26,1.0,0.099,0.859,0.042,-0.6801,0.0,0.752,0.248,16896059.0,31.18
2020-07-27,1.0,0.099,0.859,0.042,-0.6801,0.0,0.752,0.248,10184677.0,30.99
2020-07-28,1.0,0.099,0.859,0.042,0.5350666666666667,0.11333333333333333,0.8043333333333335,0.082,12977191.0,30.81
2020-07-29,1.0,0.099,0.859,0.042,0.4735,0.14200000000000002,0.813,0.0455,8215892.0,31.02
2020-07-30,1.0,0.099,0.859,0.042,0.4735,0.14200000000000002,0.813,0.0455,13062912.0,30.24
2020-07-31,1.0,0.099,0.859,0.042,0.9886,0.088,0.863,0.049,16469081.0,30.26
2020-08-01,1.0,0.099,0.859,0.042,-0.029860000000000005,0.0613,0.8185,0.12010000000000001,16469081.0,30.26
2020-08-02,1.0,0.099,0.859,0.042,-0.06489999999999999,0.06125,0.89225,0.04625,16469081.0,30.26
2020-08-03,1.0,0.099,0.859,0.042,-0.06489999999999999,0.06125,0.89225,0.04625,17084399.0,31.19
2020-08-04,1.0,0.099,0.859,0.042,-0.6077,0.06,0.786,0.154,22136544.0,32.68
2020-08-05,1.0,0.099,0.859,0.042,0.9956,0.087,0.883,0.03,17279011.0,33.2
2020-08-06,1.0,0.099,0.859,0.042,0.8673,0.097,0.865,0.038,38601493.0,34.71
2020-08-07,1.0,0.099,0.859,0.042,0.9231,0.235,0.723,0.043,39071193.0,32.9
2020-08-08,1.0,0.099,0.859,0.042,-0.12040000000000003,0.057999999999999996,0.8935,0.0485,39071193.0,32.9
2020-08-09,1.0,0.099,0.859,0.042,0.26061999999999996,0.1142,0.8184000000000001,0.06739999999999999,39071193.0,32.9
2020-08-10,1.0,0.099,0.859,0.042,0.26061999999999996,0.1142,0.8184000000000001,0.06739999999999999,21347585.0,32.27
2020-08-11,1.0,0.099,0.859,0.042,0.7506,0.088,0.885,0.027,31569923.0,31.21
2020-08-12,1.0,0.099,0.859,0.042,0.08008,0.0992,0.8404,0.06080000000000001,31514151.0,30.84
2020-08-13,1.0,0.099,0.859,0.042,0.06846666666666668,0.07566666666666667,0.8380000000000001,0.08633333333333333,21976800.0,30.46
2020-08-14,1.0,0.099,0.859,0.042,-0.1494,0.0795,0.886,0.0345,17631632.0,29.99
2020-08-15,1.0,0.099,0.859,0.042,-0.1494,0.0795,0.886,0.0345,17631632.0,29.99
2020-08-16,1.0,0.099,0.859,0.042,-0.1494,0.0795,0.886,0.0345,17631632.0,29.99
2020-08-17,1.0,0.099,0.859,0.042,0.9893,0.176,0.811,0.013,18544676.0,29.48
2020-08-18,1.0,0.099,0.859,0.042,0.9893,0.176,0.811,0.013,29392212.0,30.08
2020-08-19,1.0,0.099,0.859,0.042,-0.42874999999999996,0.0715,0.8395,0.089,14050333.0,29.42
2020-08-20,1.0,0.099,0.859,0.042,0.5017499999999999,0.1295,0.8405,0.03,56663347.0,31.41
2020-08-21,1.0,0.099,0.859,0.042,0.1276,0.083,0.837,0.079,20216997.0,30.83
2020-08-22,1.0,0.099,0.859,0.042,0.05135,0.056,0.894,0.05,20216997.0,30.83
2020-08-23,1.0,0.099,0.859,0.042,0.4054,0.144,0.76,0.097,20216997.0,30.83
2020-08-24,1.0,0.099,0.859,0.042,0.0,0.0,1.0,0.0,17407039.0,31.04
2020-08-25,1.0,0.099,0.859,0.042,0.0,0.0,1.0,0.0,10056762.0,31.19
2020-08-26,1.0,0.099,0.859,0.042,0.3715333333333333,0.063,0.7916666666666666,0.14533333333333334,20599787.0,32.3
2020-08-27,1.0,0.099,0.859,0.042,0.54884,0.1534,0.7912,0.055600000000000004,21306491.0,32.8
2020-08-28,1.0,0.099,0.859,0.042,-0.6139,0.0,0.88,0.12,17833021.0,33.8
2020-08-29,1.0,0.099,0.859,0.042,-0.7349,0.059,0.854,0.086,17833021.0,33.8
2020-08-30,1.0,0.099,0.859,0.042,0.2263,0.093,0.827,0.08,17833021.0,33.8
2020-08-31,1.0,0.099,0.859,0.042,0.0,0.0,1.0,0.0,14980621.0,33.63
2020-09-01,1.0,0.099,0.859,0.042,0.6808,0.138,0.862,0.0,16026190.0,34.3
2020-09-02,1.0,0.099,0.859,0.042,0.6808,0.138,0.862,0.0,16552685.0,34.37
2020-09-03,1.0,0.099,0.859,0.042,0.3657,0.072,0.887,0.041,17288823.0,33.41
2020-09-04,1.0,0.099,0.859,0.042,-0.3382,0.052,0.872,0.076,17300617.0,33.24
2020-09-05,1.0,0.099,0.859,0.042,-0.3382,0.052,0.872,0.076,17300617.0,33.24
2020-09-06,1.0,0.099,0.859,0.042,-0.3382,0.052,0.872,0.076,17300617.0,33.24
2020-09-07,1.0,0.099,0.859,0.042,0.8609,0.2245,0.7675000000000001,0.008,17300617.0,33.24
2020-09-08,1.0,0.099,0.859,0.042,0.8609,0.2245,0.7675000000000001,0.008,33683493.0,34.32
2020-09-09,1.0,0.099,0.859,0.042,0.4754,0.128,0.872,0.0,22803536.0,35.01
2020-09-10,1.0,0.099,0.859,0.042,0.4754,0.128,0.872,0.0,35468315.0,35.98
2020-09-11,1.0,0.099,0.859,0.042,0.4754,0.128,0.872,0.0,27131025.0,36.98
2020-09-12,1.0,0.099,0.859,0.042,0.4754,0.128,0.872,0.0,27131025.0,36.98
2020-09-13,1.0,0.099,0.859,0.042,-0.017849999999999977,0.121,0.7885,0.091,27131025.0,36.98
2020-09-14,1.0,0.099,0.859,0.042,-0.017849999999999977,0.121,0.7885,0.091,28016041.0,37.95
2020-09-15,1.0,0.099,0.859,0.042,0.9287,0.161,0.825,0.014,23532584.0,37.47
2020-09-16,1.0,0.099,0.859,0.042,0.28500000000000003,0.0635,0.5655,0.371,21802091.0,37.66
2020-09-17,1.0,0.099,0.859,0.042,0.0,0.0,1.0,0.0,23534828.0,37.06
2020-09-18,1.0,0.099,0.859,0.042,0.0,0.0,1.0,0.0,68428610.0,37.12
2020-09-19,1.0,0.099,0.859,0.042,0.0,0.0,1.0,0.0,68428610.0,37.12
2020-09-20,1.0,0.099,0.859,0.042,-0.5484,0.08,0.693,0.227,68428610.0,37.12
2020-09-21,1.0,0.099,0.859,0.042,-0.5484,0.08,0.693,0.227,19100814.0,36.49
2020-09-22,1.0,0.099,0.859,0.042,-0.5484,0.08,0.693,0.227,28242763.0,34.4
2020-09-23,1.0,0.099,0.859,0.042,0.8622,0.209,0.791,0.0,15796892.0,33.55
2020-09-24,1.0,0.099,0.859,0.042,0.64625,0.27849999999999997,0.6765,0.0445,16404055.0,33.35
2020-09-25,1.0,0.099,0.859,0.042,0.64625,0.27849999999999997,0.6765,0.0445,10736834.0,34.46
2020-09-26,1.0,0.099,0.859,0.042,0.64625,0.27849999999999997,0.6765,0.0445,10736834.0,34.46
2020-09-27,1.0,0.099,0.859,0.042,0.64625,0.27849999999999997,0.6765,0.0445,10736834.0,34.46
2020-09-28,1.0,0.099,0.859,0.042,0.64625,0.27849999999999997,0.6765,0.0445,22878432.0,35.56
