,sec_compound_sentiment,sec_positive_sentiment,sec_neutral sentiment,sec_negative_sentiment,stockmarket_compound_sentiment,stockmarket_positive_sentiment,stockmarket_neutral_sentiment,stockmarket_negative_sentiment,volume,close
2020-09-25,1.0,0.099,0.859,0.042,0.9885,0.093,0.867,0.04,486378.0,547.81
2020-09-26,1.0,0.099,0.859,0.042,0.9885,0.093,0.867,0.04,486378.0,547.81
2020-09-27,1.0,0.099,0.859,0.042,0.9885,0.093,0.867,0.04,486378.0,547.81
2020-09-28,1.0,0.099,0.859,0.042,0.9885,0.093,0.867,0.04,567033.0,558.65
2020-09-29,1.0,0.099,0.859,0.042,0.9885,0.093,0.867,0.04,409654.0,554.8
2020-09-30,1.0,0.107,0.854,0.039,0.9885,0.093,0.867,0.04,741054.0,563.55
2020-10-01,1.0,0.107,0.854,0.039,0.9885,0.093,0.867,0.04,551296.0,567.91
2020-10-02,1.0,0.107,0.854,0.039,0.9885,0.093,0.867,0.04,523471.0,570.12
2020-10-03,1.0,0.107,0.854,0.039,0.9885,0.093,0.867,0.04,523471.0,570.12
2020-10-04,1.0,0.107,0.854,0.039,0.9885,0.093,0.867,0.04,523471.0,570.12
2020-10-05,1.0,0.107,0.854,0.039,0.9885,0.093,0.867,0.04,435362.0,580.98
2020-10-06,1.0,0.107,0.854,0.039,0.9885,0.093,0.867,0.04,704311.0,580.23
2020-10-07,1.0,0.107,0.854,0.039,0.9885,0.093,0.867,0.04,573701.0,592.05
2020-10-08,1.0,0.107,0.854,0.039,0.9885,0.093,0.867,0.04,538097.0,604.44
2020-10-09,1.0,0.107,0.854,0.039,0.9885,0.093,0.867,0.04,525143.0,611.57
2020-10-10,1.0,0.107,0.854,0.039,0.6249,0.111,0.862,0.027,525143.0,611.57
2020-10-11,1.0,0.107,0.854,0.039,0.6249,0.111,0.862,0.027,525143.0,611.57
2020-10-12,1.0,0.107,0.854,0.039,0.3523,0.167,0.745,0.087,644719.0,614.89
2020-10-13,1.0,0.107,0.854,0.039,0.3523,0.167,0.745,0.087,1155021.0,638.96
2020-10-14,1.0,0.107,0.854,0.039,0.3523,0.167,0.745,0.087,694202.0,639.85
2020-10-15,1.0,0.107,0.854,0.039,0.3523,0.167,0.745,0.087,792733.0,646.24
2020-10-16,1.0,0.107,0.854,0.039,0.0258,0.106,0.792,0.102,765570.0,657.38
2020-10-17,1.0,0.107,0.854,0.039,0.0258,0.106,0.792,0.102,765570.0,657.38
2020-10-18,1.0,0.107,0.854,0.039,0.0258,0.106,0.792,0.102,765570.0,657.38
2020-10-19,1.0,0.107,0.854,0.039,0.0258,0.106,0.792,0.102,775662.0,634.89
2020-10-20,1.0,0.107,0.854,0.039,0.0258,0.106,0.792,0.102,473550.0,645.07
2020-10-21,1.0,0.107,0.854,0.039,0.0258,0.106,0.792,0.102,452696.0,634.99
2020-10-22,1.0,0.107,0.854,0.039,0.0258,0.106,0.792,0.102,483384.0,635.18
2020-10-23,1.0,0.107,0.854,0.039,0.0258,0.106,0.792,0.102,494217.0,637.31
2020-10-24,1.0,0.107,0.854,0.039,0.0258,0.106,0.792,0.102,494217.0,637.31
2020-10-25,1.0,0.107,0.854,0.039,0.0258,0.106,0.792,0.102,494217.0,637.31
2020-10-26,1.0,0.107,0.854,0.039,0.0258,0.106,0.792,0.102,686099.0,622.19
2020-10-27,1.0,0.107,0.854,0.039,0.0258,0.106,0.792,0.102,349823.0,614.53
2020-10-28,1.0,0.107,0.854,0.039,0.0258,0.106,0.792,0.102,645648.0,600.71
2020-10-29,1.0,0.107,0.854,0.039,0.0,0.0,1.0,0.0,447450.0,602.33
2020-10-30,1.0,0.107,0.854,0.039,0.0,0.0,1.0,0.0,530463.0,599.21
2020-10-31,1.0,0.107,0.854,0.039,0.0,0.0,1.0,0.0,530463.0,599.21
2020-11-01,1.0,0.107,0.854,0.039,0.0,0.0,1.0,0.0,530463.0,599.21
2020-11-02,1.0,0.107,0.854,0.039,0.0,0.0,1.0,0.0,462650.0,614.87
2020-11-03,1.0,0.107,0.854,0.039,0.0,0.0,1.0,0.0,560556.0,629.26
2020-11-04,1.0,0.107,0.854,0.039,0.0,0.0,1.0,0.0,1097823.0,651.6
2020-11-05,1.0,0.107,0.854,0.039,0.0,0.0,1.0,0.0,714509.0,668.19
2020-11-06,1.0,0.107,0.854,0.039,0.0,0.0,1.0,0.0,493951.0,654.9
2020-11-07,1.0,0.107,0.854,0.039,0.0,0.0,1.0,0.0,493951.0,654.9
2020-11-08,1.0,0.107,0.854,0.039,-0.1179,0.023,0.946,0.031,493951.0,654.9
2020-11-09,1.0,0.107,0.854,0.039,0.7213,0.143,0.792,0.065,870314.0,666.02
2020-11-10,1.0,0.107,0.854,0.039,0.7213,0.143,0.792,0.065,758018.0,660.6
2020-11-11,1.0,0.107,0.854,0.039,0.7213,0.143,0.792,0.065,455787.0,670.62
2020-11-12,1.0,0.107,0.854,0.039,0.7213,0.143,0.792,0.065,501964.0,659.79
2020-11-13,1.0,0.107,0.854,0.039,0.7213,0.143,0.792,0.065,664060.0,669.77
2020-11-14,1.0,0.107,0.854,0.039,0.7213,0.143,0.792,0.065,664060.0,669.77
2020-11-15,1.0,0.107,0.854,0.039,0.7213,0.143,0.792,0.065,664060.0,669.77
2020-11-16,1.0,0.107,0.854,0.039,0.7213,0.143,0.792,0.065,607760.0,676.43
2020-11-17,1.0,0.107,0.854,0.039,0.7213,0.143,0.792,0.065,768905.0,667.49
2020-11-18,1.0,0.107,0.854,0.039,0.7213,0.143,0.792,0.065,509045.0,669.89
2020-11-19,1.0,0.107,0.854,0.039,0.7213,0.143,0.792,0.065,471167.0,673.48
2020-11-20,1.0,0.107,0.854,0.039,0.7213,0.143,0.792,0.065,396240.0,672.71
2020-11-21,1.0,0.107,0.854,0.039,0.7213,0.143,0.792,0.065,396240.0,672.71
2020-11-22,1.0,0.107,0.854,0.039,0.17154999999999998,0.0655,0.871,0.0635,396240.0,672.71
2020-11-23,1.0,0.107,0.854,0.039,0.17154999999999998,0.0655,0.871,0.0635,505375.0,682.87
2020-11-24,1.0,0.107,0.854,0.039,0.17154999999999998,0.0655,0.871,0.0635,652054.0,699.3
2020-11-25,1.0,0.107,0.854,0.039,0.17154999999999998,0.0655,0.871,0.0635,401239.0,703.61
2020-11-26,1.0,0.107,0.854,0.039,-0.167,0.099,0.766,0.135,401239.0,703.61
2020-11-27,1.0,0.107,0.854,0.039,-0.167,0.099,0.766,0.135,313425.0,715.11
2020-11-28,1.0,0.107,0.854,0.039,-0.167,0.099,0.766,0.135,313425.0,715.11
2020-11-29,1.0,0.107,0.854,0.039,-0.167,0.099,0.766,0.135,313425.0,715.11
2020-11-30,1.0,0.107,0.854,0.039,0.4588,0.083,0.917,0.0,888510.0,698.35
2020-12-01,1.0,0.107,0.854,0.039,0.4588,0.083,0.917,0.0,549542.0,715.23
2020-12-02,1.0,0.107,0.854,0.039,0.4588,0.083,0.917,0.0,484103.0,718.36
2020-12-03,1.0,0.107,0.854,0.039,0.4588,0.083,0.917,0.0,604411.0,715.42
2020-12-04,1.0,0.107,0.854,0.039,0.4588,0.083,0.917,0.0,816373.0,703.47
2020-12-05,1.0,0.107,0.854,0.039,0.4588,0.083,0.917,0.0,816373.0,703.47
2020-12-06,1.0,0.107,0.854,0.039,0.4588,0.083,0.917,0.0,816373.0,703.47
2020-12-07,1.0,0.107,0.854,0.039,0.4588,0.083,0.917,0.0,680588.0,709.49
2020-12-08,1.0,0.107,0.854,0.039,0.6124,0.143,0.857,0.0,598186.0,713.92
2020-12-09,1.0,0.107,0.854,0.039,0.6124,0.143,0.857,0.0,489465.0,701.68
2020-12-10,1.0,0.107,0.854,0.039,0.6124,0.143,0.857,0.0,438643.0,698.41
2020-12-11,1.0,0.107,0.854,0.039,0.6124,0.143,0.857,0.0,488141.0,695.2
2020-12-12,1.0,0.107,0.854,0.039,0.6124,0.143,0.857,0.0,488141.0,695.2
2020-12-13,1.0,0.107,0.854,0.039,0.6124,0.143,0.857,0.0,488141.0,695.2
2020-12-14,1.0,0.107,0.854,0.039,0.6124,0.143,0.857,0.0,658635.0,683.92
2020-12-15,1.0,0.107,0.854,0.039,0.8351,0.306,0.6779999999999999,0.016,617940.0,698.18
2020-12-16,1.0,0.107,0.854,0.039,0.8351,0.306,0.6779999999999999,0.016,849361.0,698.37
2020-12-17,1.0,0.107,0.854,0.039,0.8351,0.306,0.6779999999999999,0.016,832259.0,706.01
2020-12-18,1.0,0.107,0.854,0.039,0.9883,0.152,0.814,0.034,1610738.0,698.8
2020-12-19,1.0,0.107,0.854,0.039,0.9001,0.164,0.789,0.046,1610738.0,698.8
2020-12-20,1.0,0.107,0.854,0.039,0.9001,0.164,0.789,0.046,1610738.0,698.8
2020-12-21,1.0,0.107,0.854,0.039,0.9001,0.164,0.789,0.046,631849.0,698.83
2020-12-22,1.0,0.107,0.854,0.039,0.9001,0.164,0.789,0.046,614465.0,693.52
2020-12-23,1.0,0.107,0.854,0.039,0.9001,0.164,0.789,0.046,752601.0,703.64
2020-12-24,1.0,0.107,0.854,0.039,0.9001,0.164,0.789,0.046,173253.0,707.18
2020-12-25,1.0,0.107,0.854,0.039,0.9001,0.164,0.789,0.046,173253.0,707.18
2020-12-26,1.0,0.107,0.854,0.039,0.9001,0.164,0.789,0.046,173253.0,707.18
2020-12-27,1.0,0.107,0.854,0.039,0.9001,0.164,0.789,0.046,173253.0,707.18
2020-12-28,1.0,0.107,0.854,0.039,0.9001,0.164,0.789,0.046,272253.0,710.18
2020-12-29,1.0,0.107,0.854,0.039,0.9001,0.164,0.789,0.046,318436.0,706.28
2020-12-30,1.0,0.107,0.854,0.039,0.9001,0.164,0.789,0.046,355270.0,708.94
2020-12-31,1.0,0.106,0.833,0.061,0.9001,0.164,0.789,0.046,361507.0,721.54
2021-01-01,1.0,0.106,0.833,0.061,0.9001,0.164,0.789,0.046,361507.0,721.54
2021-01-02,1.0,0.106,0.833,0.061,0.9001,0.164,0.789,0.046,361507.0,721.54
2021-01-03,1.0,0.106,0.833,0.061,0.9001,0.164,0.789,0.046,361507.0,721.54
2021-01-04,1.0,0.106,0.833,0.061,0.9001,0.164,0.789,0.046,623613.0,710.82
2021-01-05,1.0,0.106,0.833,0.061,0.9001,0.164,0.789,0.046,431450.0,714.58
2021-01-06,1.0,0.106,0.833,0.061,0.9001,0.164,0.789,0.046,730705.0,734.96
2021-01-07,1.0,0.106,0.833,0.061,0.9001,0.164,0.789,0.046,657328.0,750.42
2021-01-08,1.0,0.106,0.833,0.061,0.12490000000000004,0.078,0.8535,0.0685,623026.0,756.45
2021-01-09,1.0,0.106,0.833,0.061,0.0,0.0,1.0,0.0,623026.0,756.45
2021-01-10,1.0,0.106,0.833,0.061,-0.1761,0.0,0.956,0.044,623026.0,756.45
2021-01-11,1.0,0.106,0.833,0.061,-0.1761,0.0,0.956,0.044,614375.0,766.68
2021-01-12,1.0,0.106,0.833,0.061,-0.1761,0.0,0.956,0.044,675968.0,777.74
2021-01-13,1.0,0.106,0.833,0.061,0.4215,0.179,0.737,0.084,848600.0,779.75
2021-01-14,1.0,0.106,0.833,0.061,0.8975,0.199,0.784,0.017,1643130.0,743.5
2021-01-15,1.0,0.106,0.833,0.061,0.8975,0.199,0.784,0.017,1174470.0,727.76
2021-01-16,1.0,0.106,0.833,0.061,0.8975,0.199,0.784,0.017,1174470.0,727.76
2021-01-17,1.0,0.106,0.833,0.061,0.8975,0.199,0.784,0.017,1174470.0,727.76
2021-01-18,1.0,0.106,0.833,0.061,0.8975,0.199,0.784,0.017,1174470.0,727.76
2021-01-19,1.0,0.106,0.833,0.061,0.8975,0.199,0.784,0.017,852400.0,733.65
2021-01-20,1.0,0.106,0.833,0.061,0.8975,0.199,0.784,0.017,747731.0,741.54
2021-01-21,1.0,0.106,0.833,0.061,0.8975,0.199,0.784,0.017,639592.0,742.2
2021-01-22,1.0,0.106,0.833,0.061,0.8975,0.199,0.784,0.017,565667.0,735.05
2021-01-23,1.0,0.106,0.833,0.061,0.8975,0.199,0.784,0.017,565667.0,735.05
2021-01-24,1.0,0.106,0.833,0.061,0.8975,0.199,0.784,0.017,565667.0,735.05
2021-01-25,1.0,0.106,0.833,0.061,0.8975,0.199,0.784,0.017,806452.0,722.98
2021-01-26,1.0,0.106,0.833,0.061,0.8975,0.199,0.784,0.017,827925.0,721.85
2021-01-27,1.0,0.106,0.833,0.061,0.5106,0.147,0.853,0.0,1104500.0,697.79
2021-01-28,1.0,0.106,0.833,0.061,0.7898000000000001,0.135,0.829,0.036000000000000004,822441.0,719.91
2021-01-29,1.0,0.106,0.833,0.061,0.5467333333333334,0.14200000000000002,0.8335555555555555,0.024333333333333332,801057.0,701.26
2021-01-30,1.0,0.106,0.833,0.061,0.7769999999999999,0.1825,0.763,0.05500000000000001,801057.0,701.26
2021-01-31,1.0,0.106,0.833,0.061,0.5346444444444445,0.143,0.8082222222222222,0.04877777777777778,801057.0,701.26
2021-02-01,1.0,0.106,0.833,0.061,0.438825,0.15050000000000002,0.8180000000000001,0.03125,483089.0,713.17
2021-02-02,1.0,0.106,0.833,0.061,0.374425,0.11574999999999999,0.85375,0.03025,880081.0,729.5
2021-02-03,1.0,0.106,0.833,0.061,0.71785,0.1725,0.8049999999999999,0.022,685685.0,724.08
2021-02-04,1.0,0.106,0.833,0.061,0.71785,0.1725,0.8049999999999999,0.022,636413.0,732.45
2021-02-05,1.0,0.106,0.833,0.061,0.71785,0.1725,0.8049999999999999,0.022,475024.0,726.33
2021-02-06,1.0,0.106,0.833,0.061,0.71785,0.1725,0.8049999999999999,0.022,475024.0,726.33
2021-02-07,1.0,0.106,0.833,0.061,0.71785,0.1725,0.8049999999999999,0.022,475024.0,726.33
2021-02-08,1.0,0.106,0.833,0.061,0.4428,0.10033333333333333,0.8996666666666666,0.0,533219.0,726.45
2021-02-09,1.0,0.106,0.833,0.061,0.0,0.0,1.0,0.0,451000.0,728.8
2021-02-10,1.0,0.106,0.833,0.061,0.0,0.0,1.0,0.0,664062.0,723.17
2021-02-11,1.0,0.106,0.833,0.061,-0.5559,0.0,0.845,0.155,803949.0,721.43
2021-02-12,1.0,0.106,0.833,0.061,0.35615,0.065,0.8365,0.098,862804.0,722.98
2021-02-13,1.0,0.106,0.833,0.061,0.35615,0.065,0.8365,0.098,862804.0,722.98
2021-02-14,1.0,0.106,0.833,0.061,0.35615,0.065,0.8365,0.098,862804.0,722.98
2021-02-15,1.0,0.106,0.833,0.061,0.5423,0.17,0.83,0.0,862804.0,722.98
2021-02-16,1.0,0.106,0.833,0.061,0.5423,0.17,0.83,0.0,571638.0,730.31
2021-02-17,1.0,0.106,0.833,0.061,-0.5026,0.079,0.805,0.116,567250.0,721.39
2021-02-18,1.0,0.106,0.833,0.061,-0.5026,0.079,0.805,0.116,1078718.0,703.53
2021-02-19,1.0,0.106,0.833,0.061,-0.5026,0.079,0.805,0.116,804224.0,710.11
2021-02-20,1.0,0.106,0.833,0.061,0.296,0.306,0.694,0.0,804224.0,710.11
2021-02-21,1.0,0.106,0.833,0.061,0.3243,0.1245,0.8755,0.0,804224.0,710.11
2021-02-22,1.0,0.106,0.833,0.061,0.4664,0.2333333333333333,0.7666666666666666,0.0,831351.0,703.14
2021-02-23,1.0,0.106,0.833,0.061,0.8357,0.18,0.82,0.0,926290.0,703.16
2021-02-24,1.0,0.106,0.833,0.061,0.9923,0.28,0.72,0.0,583346.0,712.1
2021-02-25,1.0,0.106,0.833,0.061,0.9923,0.28,0.72,0.0,591305.0,694.79
2021-02-26,1.0,0.106,0.833,0.061,0.7635500000000001,0.1855,0.789,0.025500000000000002,768601.0,694.5
2021-02-27,1.0,0.106,0.833,0.061,0.7635500000000001,0.1855,0.789,0.025500000000000002,768601.0,694.5
