,revenue,cost_without_depletion_and_amortization,operations_and_support_expense,selling_and_market_expense,research_and_development_expense,general_and_administrative_expense,depreciation_depletion_and_amortization,costs_and_expenses,operating_income_loss,interest_expense,nonoperating_income_expense,incomeloss_from_continuining_operations,income_tax_expense_benefit,income_loss_from_equity_method_investments,profit_loss,unnamed,net_income_loss,earnings_per_share_basic,earnings_per_share_diluted,weighted_average_number_of_shares_outstanding_basic,weight_average_number_of_diluted_shares_outstanding,net_income_loss_attributable_to_redeemable_noncontrolling_interest,sec_compound_sentiment,sec_positive_sentiment,sec_neutral sentiment,sec_negative_sentiment,stockmarket_compound_sentiment,stockmarket_positive_sentiment,stockmarket_neutral_sentiment,stockmarket_negative_sentiment,volume,close
2021-03-27 00:00:00,2226000000.0,502000000.0,369000000.0,1038000000.0,483000000.0,531000000.0,180000000.0,3103000000.0,-877000000.0,118000000.0,63000000.0,-932000000.0,23000000.0,-7000000.0,-962000000.0,7000000.0,-969000000.0,-0.55,-0.55,1752960000.0,1752960000.0,-10000000.0,1.0,0.106,0.833,0.061,0.8126,0.137,0.863,0.0,13528233.0,54.71
2021-03-28 00:00:00,2226000000.0,502000000.0,369000000.0,1038000000.0,483000000.0,531000000.0,180000000.0,3103000000.0,-877000000.0,118000000.0,63000000.0,-932000000.0,23000000.0,-7000000.0,-962000000.0,7000000.0,-969000000.0,-0.55,-0.55,1752960000.0,1752960000.0,-10000000.0,1.0,0.106,0.833,0.061,0.8126,0.137,0.863,0.0,13528233.0,54.71
2021-03-29,2226000000.0,502000000.0,369000000.0,1038000000.0,483000000.0,531000000.0,180000000.0,3103000000.0,-877000000.0,118000000.0,63000000.0,-932000000.0,23000000.0,-7000000.0,-962000000.0,7000000.0,-969000000.0,-0.55,-0.55,1752960000.0,1752960000.0,-10000000.0,1.0,0.106,0.833,0.061,0.3997,0.066,0.87,0.063,9732123.0,53.35
2021-03-30,2226000000.0,502000000.0,369000000.0,1038000000.0,483000000.0,531000000.0,180000000.0,3103000000.0,-877000000.0,118000000.0,63000000.0,-932000000.0,23000000.0,-7000000.0,-962000000.0,7000000.0,-969000000.0,-0.55,-0.55,1752960000.0,1752960000.0,-10000000.0,1.0,0.106,0.833,0.061,0.3997,0.066,0.87,0.063,9497186.0,53.46
2021-03-31,2903000000.0,1710000000.0,423000000.0,1103000000.0,515000000.0,464000000.0,212000000.0,4427000000.0,-1524000000.0,115000000.0,1710000000.0,71000000.0,185000000.0,-8000000.0,-122000000.0,-14000000.0,-108000000.0,-0.06,-0.06,1858525000.0,1858525000.0,-10000000.0,1.0,0.109,0.852,0.039,0.3997,0.066,0.87,0.063,14766760.0,54.51
2021-04-01,2903000000.0,1710000000.0,423000000.0,1103000000.0,515000000.0,464000000.0,212000000.0,4427000000.0,-1524000000.0,115000000.0,1710000000.0,71000000.0,185000000.0,-8000000.0,-122000000.0,-14000000.0,-108000000.0,-0.06,-0.06,1858525000.0,1858525000.0,-10000000.0,1.0,0.109,0.852,0.039,0.1295666666666666,0.1053333333333333,0.7476666666666666,0.147,18688961.0,57.6
2021-04-02 00:00:00,2903000000.0,1710000000.0,423000000.0,1103000000.0,515000000.0,464000000.0,212000000.0,4427000000.0,-1524000000.0,115000000.0,1710000000.0,71000000.0,185000000.0,-8000000.0,-122000000.0,-14000000.0,-108000000.0,-0.06,-0.06,1858525000.0,1858525000.0,-10000000.0,1.0,0.109,0.852,0.039,-0.5095,0.0,0.548,0.452,18688961.0,57.6
2021-04-03 00:00:00,2903000000.0,1710000000.0,423000000.0,1103000000.0,515000000.0,464000000.0,212000000.0,4427000000.0,-1524000000.0,115000000.0,1710000000.0,71000000.0,185000000.0,-8000000.0,-122000000.0,-14000000.0,-108000000.0,-0.06,-0.06,1858525000.0,1858525000.0,-10000000.0,1.0,0.109,0.852,0.039,0.9632,0.121,0.805,0.073,18688961.0,57.6
2021-04-04 00:00:00,2903000000.0,1710000000.0,423000000.0,1103000000.0,515000000.0,464000000.0,212000000.0,4427000000.0,-1524000000.0,115000000.0,1710000000.0,71000000.0,185000000.0,-8000000.0,-122000000.0,-14000000.0,-108000000.0,-0.06,-0.06,1858525000.0,1858525000.0,-10000000.0,1.0,0.109,0.852,0.039,0.9632,0.121,0.805,0.073,18688961.0,57.6
2021-04-05,2903000000.0,1710000000.0,423000000.0,1103000000.0,515000000.0,464000000.0,212000000.0,4427000000.0,-1524000000.0,115000000.0,1710000000.0,71000000.0,185000000.0,-8000000.0,-122000000.0,-14000000.0,-108000000.0,-0.06,-0.06,1858525000.0,1858525000.0,-10000000.0,1.0,0.109,0.852,0.039,0.7845,0.208,0.792,0.0,13480302.0,57.4
