date,ticker,close,volume
2020-11-27,BLK,715.11,313425
2020-11-30,BLK,698.35,888510
2020-12-01,BLK,715.23,549542
2020-12-02,BLK,718.36,484103
2020-12-03,BLK,715.42,604411
2020-12-04,BLK,703.47,816373
2020-12-07,BLK,709.49,680588
2020-12-08,BLK,713.92,598186
2020-12-09,BLK,701.68,489465
2020-12-10,BLK,698.41,438643
2020-12-11,BLK,695.2,488141
2020-12-14,BLK,683.92,658635
2020-12-15,BLK,698.18,617940
2020-12-16,BLK,698.37,849361
2020-12-17,BLK,706.01,832259
2020-12-18,BLK,698.8,1610738
2020-12-21,BLK,698.83,631849
2020-12-22,BLK,693.52,614465
2020-12-23,BLK,703.64,752601
2020-12-24,BLK,707.18,173253
2020-12-28,BLK,710.18,272253
2020-12-29,BLK,706.28,318436
2020-12-30,BLK,708.94,355270
2020-12-31,BLK,721.54,361507
2021-01-04,BLK,710.82,623613
2021-01-05,BLK,714.58,431450
2021-01-06,BLK,734.96,730705
2021-01-07,BLK,750.42,657328
2021-01-08,BLK,756.45,623026
2021-01-11,BLK,766.68,614375
2021-01-12,BLK,777.74,675968
2021-01-13,BLK,779.75,848600
2021-01-14,BLK,743.5,1643130
2021-01-15,BLK,727.76,1174470
2021-01-19,BLK,733.65,852400
2021-01-20,BLK,741.54,747731
2021-01-21,BLK,742.2,639592
2021-01-22,BLK,735.05,565667
2021-01-25,BLK,722.98,806452
2021-01-26,BLK,721.85,827925
2021-01-27,BLK,697.79,1104500
2021-01-28,BLK,719.91,822441
2021-01-29,BLK,701.26,801057
2021-02-01,BLK,713.17,483089
2021-02-02,BLK,729.5,880081
2021-02-03,BLK,724.08,685685
2021-02-04,BLK,732.45,636413
2021-02-05,BLK,726.33,475024
2021-02-08,BLK,726.45,533219
2021-02-09,BLK,728.8,451000
2021-02-10,BLK,723.17,664062
2021-02-11,BLK,721.43,803949
2021-02-12,BLK,722.98,862804
2021-02-16,BLK,730.31,571638
2021-02-17,BLK,721.39,567250
2021-02-18,BLK,703.53,1078718
2021-02-19,BLK,710.11,804224
2021-02-22,BLK,703.14,831351
2021-02-23,BLK,703.16,926290
2021-02-24,BLK,712.1,583346
2021-02-25,BLK,694.79,591305
2021-02-26,BLK,694.5,768601
2021-03-01,BLK,719.2,653979
2021-03-02,BLK,716.31,455226
2021-03-03,BLK,701.49,703134
2021-03-04,BLK,683.21,915435
2021-03-05,BLK,702.28,698504
2021-03-08,BLK,698.96,649762
2021-03-09,BLK,722.0,967468
2021-03-10,BLK,728.5,823347
2021-03-11,BLK,722.12,751651
2021-03-12,BLK,716.19,528693
2021-03-15,BLK,719.01,526994
2021-03-16,BLK,723.07,562240
2021-03-17,BLK,728.22,463614
2021-03-18,BLK,723.73,640124
2021-03-19,BLK,729.64,1452400
2021-03-22,BLK,730.92,524689
2021-03-23,BLK,716.57,557028
2021-03-24,BLK,722.75,544800
2021-03-25,BLK,727.5,462825
2021-03-26,BLK,756.9,803746
2021-03-29,BLK,757.86,582004
2021-03-30,BLK,749.26,598823
2021-03-31,BLK,753.96,638151
2021-04-01,BLK,766.83,571675
2021-04-05,BLK,784.02,590582
2021-04-06,BLK,781.71,491387
2021-04-07,BLK,788.0,476093
2021-04-08,BLK,800.6,555177
2021-04-09,BLK,808.35,482234
2021-04-12,BLK,807.98,417157
2021-04-13,BLK,802.49,313385
2021-04-14,BLK,804.39,479800
2021-04-15,BLK,817.84,696572
2021-04-16,BLK,811.45,664106
2021-04-19,BLK,811.09,399120
2021-04-20,BLK,804.96,464020
2021-04-21,BLK,811.53,388134
2021-04-22,BLK,795.32,518523
2021-04-23,BLK,813.17,489545
2021-04-26,BLK,818.32,476442
2021-04-27,BLK,820.51,325034
2021-04-28,BLK,816.28,332259
2021-04-29,BLK,827.32,449822
2021-04-30,BLK,819.3,447904
2021-05-03,BLK,825.62,488338
2021-05-04,BLK,836.43,550639
2021-05-05,BLK,851.01,565260
2021-05-06,BLK,867.1,662103
2021-05-07,BLK,873.83,472806
2021-05-10,BLK,857.39,513505
2021-05-11,BLK,844.1,669132
2021-05-12,BLK,823.5,644319
2021-05-13,BLK,838.99,542603
2021-05-14,BLK,856.87,422468
2021-05-17,BLK,849.46,347557
2021-05-18,BLK,840.14,373726
2021-05-19,BLK,838.52,633052
2021-05-20,BLK,844.88,360768
2021-05-21,BLK,860.77,693152
2021-05-24,BLK,872.36,566851
2021-05-25,BLK,874.27,625591
2021-05-26,BLK,876.73,616192
2021-05-27,BLK,876.43,704573
2021-05-28,BLK,877.04,435375
2021-06-01,BLK,876.91,410015
2021-06-02,BLK,887.42,543412
2021-06-03,BLK,881.01,430784
2021-06-04,BLK,886.85,646966
2021-06-07,BLK,884.96,400307
2021-06-08,BLK,884.52,303322
2021-06-09,BLK,870.94,463127
2021-06-10,BLK,867.44,422381
2021-06-11,BLK,880.66,441969
2021-06-14,BLK,876.78,361994
2021-06-15,BLK,881.01,442548
2021-06-16,BLK,869.35,592953
2021-06-17,BLK,868.82,565204
2021-06-18,BLK,840.78,1055241
2021-06-21,BLK,861.26,572644
2021-06-22,BLK,864.76,667732
2021-06-23,BLK,865.42,564644
2021-06-24,BLK,867.34,660805
2021-06-25,BLK,874.03,741394
2021-06-28,BLK,878.74,372642
2021-06-29,BLK,873.53,740333
2021-06-30,BLK,874.97,575278
2021-07-01,BLK,879.23,424829
2021-07-02,BLK,893.63,429809
2021-07-06,BLK,892.68,527205
2021-07-07,BLK,900.94,467873
2021-07-08,BLK,876.5,626828
2021-07-09,BLK,901.31,760166
2021-07-12,BLK,915.92,861948
2021-07-13,BLK,908.07,586323
2021-07-14,BLK,880.32,992152
2021-07-15,BLK,880.0,617055
2021-07-16,BLK,875.02,980994
2021-07-19,BLK,845.16,939982
2021-07-20,BLK,878.84,894669
2021-07-21,BLK,882.68,443271
2021-07-22,BLK,866.86,598797
2021-07-23,BLK,868.95,525611
2021-07-26,BLK,871.49,413602
2021-07-27,BLK,861.88,475862
2021-07-28,BLK,860.71,386709
2021-07-29,BLK,869.39,333914
2021-07-30,BLK,867.17,500599
2021-08-02,BLK,873.26,384294
2021-08-03,BLK,880.21,388484
2021-08-04,BLK,882.01,390150
2021-08-05,BLK,889.28,348684
2021-08-06,BLK,896.09,478124
2021-08-09,BLK,901.97,345983
2021-08-10,BLK,912.56,382091
2021-08-11,BLK,917.09,377475
2021-08-12,BLK,918.54,299131
2021-08-13,BLK,916.86,292387
2021-08-16,BLK,924.89,319303
2021-08-17,BLK,909.62,379804
2021-08-18,BLK,901.91,382988
2021-08-19,BLK,903.78,426424
2021-08-20,BLK,917.17,384092
2021-08-23,BLK,927.86,357372
2021-08-24,BLK,929.19,288495
2021-08-25,BLK,939.52,329744
2021-08-26,BLK,935.88,271895
2021-08-27,BLK,954.94,453601
2021-08-30,BLK,948.08,283763
2021-08-31,BLK,943.29,592552
2021-09-01,BLK,943.82,325429
2021-09-02,BLK,950.67,368250
2021-09-03,BLK,937.28,418782
2021-09-07,BLK,924.83,357425
2021-09-08,BLK,924.34,256627
2021-09-09,BLK,922.14,478141
2021-09-10,BLK,916.62,332194
2021-09-13,BLK,916.26,422082
2021-09-14,BLK,901.95,573739
2021-09-15,BLK,909.65,494095
2021-09-16,BLK,890.44,726422
2021-09-17,BLK,876.63,1272132
2021-09-20,BLK,857.27,764207
2021-09-21,BLK,845.24,596424
2021-09-22,BLK,851.05,542207
2021-09-23,BLK,876.17,523334
2021-09-24,BLK,874.62,322010
2021-09-27,BLK,875.47,416597
2021-09-28,BLK,860.57,638094
2021-09-29,BLK,856.57,543913
2021-09-30,BLK,838.66,552393
2021-10-01,BLK,841.89,474457
2021-10-04,BLK,825.56,590781
2021-10-05,BLK,838.78,443666
2021-10-06,BLK,837.55,466062
2021-10-07,BLK,842.35,433044
2021-10-08,BLK,844.4,349590
2021-10-11,BLK,839.73,529138
2021-10-12,BLK,836.19,817571
2021-10-13,BLK,867.81,1447161
2021-10-14,BLK,892.51,801431
2021-10-15,BLK,907.26,1015349
2021-10-18,BLK,896.31,534586
2021-10-19,BLK,901.65,401459
2021-10-20,BLK,902.93,375425
2021-10-21,BLK,903.72,328202
2021-10-22,BLK,914.97,363695
2021-10-25,BLK,924.74,447398
2021-10-26,BLK,931.58,371082
2021-10-27,BLK,917.27,446497
2021-10-28,BLK,935.48,346681
2021-10-29,BLK,943.46,480224
2021-11-01,BLK,936.23,391017
2021-11-02,BLK,947.85,380678
2021-11-03,BLK,951.7,386752
2021-11-04,BLK,954.04,350866
2021-11-05,BLK,955.11,339992
2021-11-08,BLK,965.87,372158
2021-11-09,BLK,966.75,392950
2021-11-10,BLK,959.21,340275
2021-11-11,BLK,965.6,266927
2021-11-12,BLK,971.49,387108
2021-11-15,BLK,953.24,677749
2021-11-16,BLK,948.95,471301
2021-11-17,BLK,931.54,676316
2021-11-18,BLK,922.77,678915
2021-11-19,BLK,914.95,739137
2021-11-22,BLK,919.33,557570
2021-11-23,BLK,935.43,685162
2021-11-24,BLK,930.72,437455
2021-11-26,BLK,901.64,541894
2021-11-29,BLK,928.0,609433
2021-11-30,BLK,904.61,1053205
2021-12-01,BLK,900.33,702953
2021-12-02,BLK,918.85,626103
2021-12-03,BLK,899.57,637715
2021-12-06,BLK,896.7,442344
2021-12-07,BLK,920.92,634680
2021-12-08,BLK,923.86,411838
2021-12-09,BLK,919.08,373668
2021-12-10,BLK,925.16,451973
2021-12-13,BLK,917.66,463328
2021-12-14,BLK,902.38,826409
2021-12-15,BLK,914.91,464856
2021-12-16,BLK,921.55,487204
2021-12-17,BLK,913.57,725901
2021-12-20,BLK,897.29,537282
2021-12-21,BLK,910.87,378798
2021-12-22,BLK,911.54,349928
2021-12-23,BLK,913.92,415854
2021-12-27,BLK,922.57,410478
2021-12-28,BLK,921.82,384607
2021-12-29,BLK,909.72,391292
2021-12-30,BLK,913.76,315954
2021-12-31,BLK,915.56,214976
2022-01-03,BLK,911.73,470555
2022-01-04,BLK,917.22,494809
2022-01-05,BLK,891.77,568412
2022-01-06,BLK,895.49,635325
2022-01-07,BLK,892.27,642149
2022-01-10,BLK,873.34,781714
2022-01-11,BLK,888.19,746094
2022-01-12,BLK,885.11,651835
2022-01-13,BLK,867.58,793477
2022-01-14,BLK,848.6,1238049
2022-01-18,BLK,832.0,1015741
2022-01-19,BLK,825.5,792973
2022-01-20,BLK,826.55,940264
2022-01-21,BLK,800.92,1239463
2022-01-24,BLK,786.82,1658931
2022-01-25,BLK,798.55,1215880
2022-01-26,BLK,795.47,921817
2022-01-27,BLK,787.96,693414
2022-01-28,BLK,808.14,600268
2022-01-31,BLK,822.94,608804
2022-02-01,BLK,825.95,628920
2022-02-02,BLK,822.51,1028061
2022-02-03,BLK,805.77,579497
2022-02-04,BLK,809.82,664419
2022-02-07,BLK,816.92,567227
2022-02-08,BLK,807.39,968231
2022-02-09,BLK,813.0,1175513
2022-02-10,BLK,778.19,2033857
2022-02-11,BLK,772.49,1217843
2022-02-14,BLK,760.31,910855
2022-02-15,BLK,781.19,525384
2022-02-16,BLK,783.42,609877
2022-02-17,BLK,762.5,480461
2022-02-18,BLK,756.02,478311
2022-02-22,BLK,745.48,649803
2022-02-23,BLK,732.49,778776
2022-02-24,BLK,731.79,1173936
2022-02-25,BLK,750.87,633370
2022-02-28,BLK,743.89,736176
2022-03-01,BLK,714.81,797074
2022-03-02,BLK,738.04,891982
2022-03-03,BLK,737.71,666680
2022-03-04,BLK,696.59,2087642
2022-03-07,BLK,677.07,1103642
2022-03-08,BLK,662.87,1115756
2022-03-09,BLK,693.25,1379454
2022-03-10,BLK,697.2,978004
2022-03-11,BLK,687.04,785696
2022-03-14,BLK,697.53,715952
2022-03-15,BLK,707.67,604957
2022-03-16,BLK,731.11,1101178
2022-03-17,BLK,740.93,516912
2022-03-18,BLK,738.59,1212194
2022-03-21,BLK,733.83,568551
