,periodOfReport,ticker,pos,neg,neu,compound
377,2021-12-31,PYPL,0.11,0.057,0.833,1.0
378,2022-03-31,PYPL,0.135,0.037,0.828,1.0
379,2012-06-30,REGI,0.124,0.04,0.835,1.0
380,2012-09-30,REGI,0.125,0.048,0.827,1.0
381,2012-12-31,REGI,0.133,0.052,0.814,1.0
382,2013-03-31,REGI,0.126,0.049,0.825,1.0
383,2013-06-30,REGI,0.114,0.049,0.838,0.9999
384,2013-09-30,REGI,0.104,0.044,0.852,1.0
385,2013-12-31,REGI,0.133,0.05,0.818,1.0
386,2014-03-31,REGI,0.114,0.053,0.833,1.0
387,2014-06-30,REGI,0.107,0.033,0.86,1.0
388,2014-09-30,REGI,0.102,0.036,0.862,1.0
389,2014-12-31,REGI,0.13,0.051,0.819,1.0
390,2015-03-31,REGI,0.103,0.04,0.857,1.0
391,2015-06-30,REGI,0.107,0.04,0.853,1.0
392,2015-09-30,REGI,0.112,0.04,0.849,1.0
393,2015-12-31,REGI,0.132,0.055,0.812,1.0
394,2016-03-31,REGI,0.094,0.04,0.865,0.9999
395,2016-06-30,REGI,0.111,0.036,0.852,1.0
396,2016-09-30,REGI,0.115,0.036,0.85,1.0
397,2016-12-31,REGI,0.129,0.057,0.814,1.0
398,2017-03-31,REGI,0.095,0.048,0.857,0.9999
399,2017-06-30,REGI,0.102,0.045,0.853,0.9999
400,2017-09-30,REGI,0.102,0.048,0.85,0.9999
401,2017-12-31,REGI,0.1,0.052,0.848,1.0
402,2018-03-31,REGI,0.104,0.043,0.854,1.0
403,2018-06-30,REGI,0.109,0.04,0.851,1.0
404,2018-09-30,REGI,0.117,0.038,0.846,1.0
405,2018-12-31,REGI,0.108,0.052,0.84,1.0
406,2019-03-31,REGI,0.102,0.043,0.855,1.0
407,2019-06-30,REGI,0.091,0.041,0.868,0.9999
408,2019-09-30,REGI,0.096,0.042,0.862,1.0
409,2019-12-31,REGI,0.1115,0.059,0.8294999999999999,1.0
410,2020-03-31,REGI,0.102,0.044,0.854,1.0
411,2020-06-30,REGI,0.101,0.041,0.858,1.0
412,2020-09-30,REGI,0.099,0.043,0.858,1.0
413,2020-12-31,REGI,0.114,0.073,0.814,1.0
414,2021-03-31,REGI,0.089,0.046,0.864,0.9999
415,2021-06-30,REGI,0.091,0.044,0.865,0.9999
416,2021-09-30,REGI,0.091,0.043,0.865,0.9999
417,2021-12-31,REGI,0.117,0.068,0.815,1.0
418,2022-03-31,REGI,0.085,0.047,0.868,0.9999
419,2020-09-30,SOFI,0.121,0.056,0.822,1.0
420,2021-03-31,SOFI,0.122,0.058,0.821,1.0
421,2021-06-30,SOFI,0.122,0.058,0.821,1.0
422,2021-09-30,SOFI,0.125,0.06,0.815,1.0
423,2022-03-31,SOFI,0.122,0.065,0.812,1.0
424,2012-07-01,SPWR,0.09,0.044,0.866,0.9999
425,2012-09-30,SPWR,0.095,0.044,0.861,0.9999
426,2012-12-30,SPWR,0.122,0.0725,0.806,1.0
427,2013-03-31,SPWR,0.093,0.045,0.861,0.9999
428,2013-06-30,SPWR,0.106,0.037,0.857,1.0
429,2013-09-29,SPWR,0.106,0.04,0.854,1.0
430,2013-12-29,SPWR,0.131,0.073,0.796,1.0
431,2014-03-30,SPWR,0.098,0.037,0.865,1.0
432,2014-06-29,SPWR,0.146,0.038,0.815,1.0
433,2014-09-28,SPWR,0.148,0.034,0.818,1.0
434,2014-12-28,SPWR,0.116,0.047,0.837,1.0
435,2015-03-29,SPWR,0.158,0.037,0.804,1.0
